ts,open,high,low,close,volume,timestamp
1697677200000,28388.47,28418.0,28100.66,28238.53,2293.84945,2023-10-19 01:00:00+00:00
1697680800000,28238.54,28271.56,28169.26,28210.0,1072.68107,2023-10-19 02:00:00+00:00
1697684400000,28209.99,28262.23,28199.83,28260.0,648.64718,2023-10-19 03:00:00+00:00
1697688000000,28260.0,28287.15,28230.0,28286.75,703.44431,2023-10-19 04:00:00+00:00
1697691600000,28286.75,28349.39,28271.58,28308.38,846.84287,2023-10-19 05:00:00+00:00
1697695200000,28308.39,28326.16,28275.08,28291.15,700.75014,2023-10-19 06:00:00+00:00
1697698800000,28291.15,28339.72,28242.67,28330.82,832.90577,2023-10-19 07:00:00+00:00
1697702400000,28330.82,28375.47,28302.95,28325.21,901.75636,2023-10-19 08:00:00+00:00
1697706000000,28325.22,28411.33,28280.96,28400.01,1271.27758,2023-10-19 09:00:00+00:00
1697709600000,28400.0,28514.21,28375.86,28476.99,2017.38492,2023-10-19 10:00:00+00:00
1697713200000,28477.0,28495.0,28410.0,28450.69,1032.84737,2023-10-19 11:00:00+00:00
1697716800000,28450.7,28573.74,28420.0,28477.12,2107.9075,2023-10-19 12:00:00+00:00
1697720400000,28477.12,28587.3,28435.42,28482.09,1833.07678,2023-10-19 13:00:00+00:00
1697724000000,28482.1,28750.57,28444.64,28680.45,3017.42212,2023-10-19 14:00:00+00:00
1697727600000,28680.45,28814.14,28569.28,28680.09,3242.76977,2023-10-19 15:00:00+00:00
1697731200000,28680.09,28916.89,28606.32,28620.01,3891.53983,2023-10-19 16:00:00+00:00
1697734800000,28620.01,28692.48,28457.56,28547.24,1699.11214,2023-10-19 17:00:00+00:00
1697738400000,28547.24,28691.42,28525.0,28646.98,1401.60664,2023-10-19 18:00:00+00:00
1697742000000,28646.98,28765.76,28645.0,28750.75,1039.20935,2023-10-19 19:00:00+00:00
1697745600000,28750.75,28882.07,28684.8,28715.38,1737.14711,2023-10-19 20:00:00+00:00
1697749200000,28715.39,28739.73,28604.09,28604.09,1118.51697,2023-10-19 21:00:00+00:00
1697752800000,28604.09,28704.99,28598.6,28649.65,767.85518,2023-10-19 22:00:00+00:00
1697756400000,28649.64,28717.82,28630.19,28713.71,613.28448,2023-10-19 23:00:00+00:00
1697760000000,28713.71,28772.32,28636.36,28640.0,886.04818,2023-10-20 00:00:00+00:00
1697763600000,28640.01,28659.5,28578.29,28659.5,641.25821,2023-10-20 01:00:00+00:00
1697767200000,28659.49,29123.0,28641.32,28980.0,3293.78291,2023-10-20 02:00:00+00:00
1697770800000,28980.0,29400.0,28920.0,29235.38,4342.5285,2023-10-20 03:00:00+00:00
1697774400000,29235.37,29350.0,29175.17,29318.54,2399.04103,2023-10-20 04:00:00+00:00
1697778000000,29318.53,29345.58,29111.28,29221.75,3773.80305,2023-10-20 05:00:00+00:00
1697781600000,29221.75,29289.93,29179.96,29282.6,1150.69416,2023-10-20 06:00:00+00:00
1697785200000,29282.61,29400.0,29218.33,29240.51,2515.93635,2023-10-20 07:00:00+00:00
1697788800000,29240.52,29845.17,29227.75,29731.84,5676.49006,2023-10-20 08:00:00+00:00
1697792400000,29731.84,29829.47,29651.68,29798.11,2913.18707,2023-10-20 09:00:00+00:00
1697796000000,29798.1,30207.55,29770.06,29850.01,7350.03325,2023-10-20 10:00:00+00:00
1697799600000,29850.0,30038.3,29795.44,29839.99,3310.20533,2023-10-20 11:00:00+00:00
1697803200000,29839.99,29910.0,29380.0,29509.21,5509.99911,2023-10-20 12:00:00+00:00
1697806800000,29509.21,29665.07,29458.18,29654.64,2744.51174,2023-10-20 13:00:00+00:00
1697810400000,29654.64,29730.5,29413.31,29586.19,2408.38097,2023-10-20 14:00:00+00:00
1697814000000,29586.2,29600.0,29486.0,29550.98,1652.00002,2023-10-20 15:00:00+00:00
1697817600000,29550.98,29592.71,29445.0,29492.87,1515.07822,2023-10-20 16:00:00+00:00
1697821200000,29492.87,29526.62,29321.0,29516.38,1521.23547,2023-10-20 17:00:00+00:00
1697824800000,29516.38,29554.77,29470.0,29485.76,907.44966,2023-10-20 18:00:00+00:00
1697828400000,29485.76,29567.71,29400.0,29561.41,1132.22706,2023-10-20 19:00:00+00:00
1697832000000,29561.4,29641.36,29513.5,29580.92,1576.97757,2023-10-20 20:00:00+00:00
1697835600000,29580.93,29642.45,29577.83,29614.79,576.88467,2023-10-20 21:00:00+00:00
1697839200000,29614.79,29674.6,29595.29,29661.67,584.4107,2023-10-20 22:00:00+00:00
1697842800000,29661.66,29790.59,29652.27,29669.04,1039.93591,2023-10-20 23:00:00+00:00
1697846400000,29669.05,29699.68,29585.06,29628.16,836.69196,2023-10-21 00:00:00+00:00
1697850000000,29628.15,29631.79,29514.19,29533.88,667.51854,2023-10-21 01:00:00+00:00
1697853600000,29533.87,29539.35,29465.53,29486.96,752.92738,2023-10-21 02:00:00+00:00
1697857200000,29486.96,29624.58,29464.77,29604.43,740.04199,2023-10-21 03:00:00+00:00
1697860800000,29604.42,29627.8,29553.53,29556.13,661.39,2023-10-21 04:00:00+00:00
1697864400000,29556.13,29584.91,29541.86,29578.66,380.65705,2023-10-21 05:00:00+00:00
1697868000000,29578.65,29730.88,29578.65,29705.0,973.51681,2023-10-21 06:00:00+00:00
1697871600000,29704.99,29723.63,29651.78,29695.8,560.64906,2023-10-21 07:00:00+00:00
1697875200000,29695.8,29719.43,29656.24,29662.3,508.21586,2023-10-21 08:00:00+00:00
1697878800000,29662.29,29866.0,29634.56,29843.42,1509.01018,2023-10-21 09:00:00+00:00
1697882400000,29843.41,29878.83,29755.72,29772.48,1138.8611,2023-10-21 10:00:00+00:00
1697886000000,29772.49,29850.1,29765.67,29804.99,1327.9955,2023-10-21 11:00:00+00:00
1697889600000,29804.99,29833.03,29744.98,29768.27,1029.79584,2023-10-21 12:00:00+00:00
1697893200000,29768.28,29798.32,29678.69,29775.48,1018.96783,2023-10-21 13:00:00+00:00
1697896800000,29775.49,29921.68,29752.76,29884.1,1621.77159,2023-10-21 14:00:00+00:00
1697900400000,29884.1,29980.0,29771.46,29937.36,1895.23623,2023-10-21 15:00:00+00:00
1697904000000,29937.37,29974.26,29846.0,29867.41,1190.57162,2023-10-21 16:00:00+00:00
1697907600000,29867.41,30180.0,29848.32,30146.68,2516.74631,2023-10-21 17:00:00+00:00
