ts,open,high,low,close,volume,timestamp
1760713200000,105163.41,106852.14,105087.29,106803.53,2228.15693,2025-10-17 15:00:00+00:00
1760716800000,106803.52,107575.6,106239.75,106372.34,1909.04788,2025-10-17 16:00:00+00:00
1760720400000,106372.34,106729.0,106071.42,106453.27,723.50939,2025-10-17 17:00:00+00:00
1760724000000,106453.26,107089.99,106453.26,106647.11,761.17199,2025-10-17 18:00:00+00:00
1760727600000,106647.11,106889.11,106233.65,106454.72,522.73818,2025-10-17 19:00:00+00:00
1760731200000,106457.24,107177.08,106342.47,107021.37,502.81407,2025-10-17 20:00:00+00:00
1760734800000,107021.38,107440.02,107016.87,107301.4,474.97927,2025-10-17 21:00:00+00:00
1760738400000,107301.41,107415.73,106807.5,107000.1,467.14,2025-10-17 22:00:00+00:00
1760742000000,107000.09,107000.1,106392.08,106431.68,365.62283,2025-10-17 23:00:00+00:00
1760745600000,106431.68,106845.52,106322.2,106845.52,471.69377,2025-10-18 00:00:00+00:00
1760749200000,106845.52,107306.06,106824.0,107149.3,525.1252,2025-10-18 01:00:00+00:00
1760752800000,107149.3,107297.87,106493.23,106597.98,923.59727,2025-10-18 02:00:00+00:00
1760756400000,106597.97,107126.55,106573.6,107070.4,747.88716,2025-10-18 03:00:00+00:00
1760760000000,107070.41,107070.41,106439.38,106478.71,738.59104,2025-10-18 04:00:00+00:00
1760763600000,106478.66,106842.5,106478.66,106812.52,357.02039,2025-10-18 05:00:00+00:00
1760767200000,106812.52,106950.0,106711.95,106839.96,582.06053,2025-10-18 06:00:00+00:00
1760770800000,106839.97,107499.0,106607.2,106665.0,1298.66311,2025-10-18 07:00:00+00:00
1760774400000,106665.01,106966.62,106605.93,106719.2,1204.63747,2025-10-18 08:00:00+00:00
1760778000000,106719.2,106938.0,106629.66,106884.41,371.44202,2025-10-18 09:00:00+00:00
1760781600000,106884.41,107145.81,106788.41,106924.47,365.7402,2025-10-18 10:00:00+00:00
1760785200000,106924.47,107222.0,106770.0,107208.6,394.9085,2025-10-18 11:00:00+00:00
1760788800000,107208.61,107300.0,106965.23,107065.17,265.11201,2025-10-18 12:00:00+00:00
1760792400000,107065.17,107102.14,106810.0,106888.78,270.57628,2025-10-18 13:00:00+00:00
1760796000000,106888.77,107111.11,106739.33,107028.36,552.94765,2025-10-18 14:00:00+00:00
1760799600000,107028.37,107146.18,107021.96,107077.63,86.56952,2025-10-18 15:00:00+00:00
