indice,data,preco_real,preco_previsto,erro_percentual
14000,2025-05-24 09:00:00+00:00,109094.99,109077.27,0.01624158
14001,2025-05-24 10:00:00+00:00,109208.56,109145.91,0.05737302
14002,2025-05-24 11:00:00+00:00,108776.63,108772.85,0.00347616
14003,2025-05-24 12:00:00+00:00,108590.29,108615.586,0.023295708
14004,2025-05-24 13:00:00+00:00,108959.09,109055.77,0.08873026
14005,2025-05-24 14:00:00+00:00,108929.7,108980.805,0.046912424
14006,2025-05-24 15:00:00+00:00,108997.67,109056.16,0.053656537
14007,2025-05-24 16:00:00+00:00,108920.03,109021.49,0.09315177
14008,2025-05-24 17:00:00+00:00,108827.01,108959.766,0.121989764
14009,2025-05-24 18:00:00+00:00,108960.0,108986.21,0.02405556
14010,2025-05-24 19:00:00+00:00,108863.63,108959.86,0.08839184
14011,2025-05-24 20:00:00+00:00,108818.18,108877.46,0.05447734
14012,2025-05-24 21:00:00+00:00,108100.5,107972.9,0.11803976
14013,2025-05-24 22:00:00+00:00,107761.91,107791.3,0.027273668
14014,2025-05-24 23:00:00+00:00,107443.9,107432.15,0.01093594
14015,2025-05-25 00:00:00+00:00,107656.22,107633.59,0.02101597
14016,2025-05-25 01:00:00+00:00,107928.8,107874.914,0.049924407
14017,2025-05-25 02:00:00+00:00,108095.75,108021.266,0.06890593
14018,2025-05-25 03:00:00+00:00,108245.21,108216.12,0.026877632
14019,2025-05-25 04:00:00+00:00,108103.98,108174.49,0.065229446
14020,2025-05-25 05:00:00+00:00,107938.0,107904.34,0.031181095
14021,2025-05-25 06:00:00+00:00,107681.81,107634.09,0.044314586
14022,2025-05-25 07:00:00+00:00,107109.41,107066.79,0.039788462
14023,2025-05-25 08:00:00+00:00,107131.67,107094.125,0.03504741
14024,2025-05-25 09:00:00+00:00,106946.4,106893.36,0.049594063
14025,2025-05-25 10:00:00+00:00,107260.0,107238.46,0.02008117
14026,2025-05-25 11:00:00+00:00,107530.57,107523.99,0.0061174463
14027,2025-05-25 12:00:00+00:00,107521.75,107484.05,0.03506558
14028,2025-05-25 13:00:00+00:00,107355.0,107323.67,0.029181803
14029,2025-05-25 14:00:00+00:00,106967.97,106908.03,0.056033127
14030,2025-05-25 15:00:00+00:00,107174.4,107317.695,0.1337044
14031,2025-05-25 16:00:00+00:00,107363.37,107346.836,0.015397478
14032,2025-05-25 17:00:00+00:00,107413.34,107442.484,0.027129427
14033,2025-05-25 18:00:00+00:00,107717.01,107731.39,0.013352407
14034,2025-05-25 19:00:00+00:00,107677.35,107723.72,0.043061227
14035,2025-05-25 20:00:00+00:00,107466.7,107426.81,0.037119053
14036,2025-05-25 21:00:00+00:00,109166.0,109383.445,0.19918776
14037,2025-05-25 22:00:00+00:00,109004.19,109120.95,0.10712031
14038,2025-05-25 23:00:00+00:00,109540.46,109736.414,0.17888653
14039,2025-05-26 00:00:00+00:00,109545.46,109707.82,0.14821187
14040,2025-05-26 01:00:00+00:00,109387.72,109543.47,0.14238344
14041,2025-05-26 02:00:00+00:00,109623.53,109691.234,0.061759666
14042,2025-05-26 03:00:00+00:00,109541.3,109698.375,0.14339626
14043,2025-05-26 04:00:00+00:00,109650.01,109718.07,0.062072497
14044,2025-05-26 05:00:00+00:00,109928.37,109951.875,0.021384666
14045,2025-05-26 06:00:00+00:00,110094.62,110265.2,0.15494485
14046,2025-05-26 07:00:00+00:00,109666.4,109768.164,0.09279563
14047,2025-05-26 08:00:00+00:00,109712.56,109784.64,0.06569724
14048,2025-05-26 09:00:00+00:00,109643.56,109765.984,0.111654416
14049,2025-05-26 10:00:00+00:00,109772.72,109795.984,0.02119436
14050,2025-05-26 11:00:00+00:00,109826.92,109901.25,0.06767751
14051,2025-05-26 12:00:00+00:00,109595.65,109676.35,0.07363716
14052,2025-05-26 13:00:00+00:00,109652.51,109739.66,0.07947692
14053,2025-05-26 14:00:00+00:00,110009.82,110150.35,0.12774427
14054,2025-05-26 15:00:00+00:00,109391.37,109405.2,0.0126481075
14055,2025-05-26 16:00:00+00:00,109171.91,109206.9,0.032052375
14056,2025-05-26 17:00:00+00:00,109101.97,109139.336,0.034249783
